"Station","Battalion","Physical.Location","lat","long"
"Station 1",1,"139 E. Morgan Street Durham, NC 27701",35.996845,-78.897998
"Station 2",1,"1001 9th Street Durham, NC 27705",36.014123,-78.921872
"Station 3",4,"822 N. Miami Boulevard Durham, NC 27703",35.9909025,-78.8670371
"Station 4",1,"1818 Riddle Road Durham, NC 27713",35.9557762,-78.8896578
"Station 5",1,"2212 Chapel Hill Road Durham, NC 27707",35.983517,-78.9309874
"Station 6",3,"3700 Swarthmore Road Durham, NC 27707",35.9335307,-78.9511356
"Station 7",2,"3919 N. Duke Street Durham, NC 27704",36.054402,-78.9046245
"Station 8",4,"225 Lick Creek Lane Durham, NC 27703",35.9786256,-78.8083541
"Station 9",4,"1648 Midland Terrace, Durham, NC 27704",36.0183938,-78.8675507
"Station 10",2,"1805 Cole Mill Road Durham, NC 27712",36.0419144,-78.9615521
"Station 11",1,"2800 W. Cornwallis Road Durham, NC 27705 ",35.9901723,-78.9683999
"Station 12",3,"1230 Carpenter Fletcher Road Durham, NC 27713",35.9152339,-78.8974641
"Station 13",4,"2901 S. Miami Boulevard Durham, NC 27703",35.9279115,-78.8442828
"Station 14",2,"1327 Umstead Road Durham, NC 27712",36.0824202,-78.9402175
"Station 15",2,"2060 Torredge Road Durham, NC 27712",36.0982379,-78.8676402
"Station 16",3,"6303 Farrington Road Chapel Hill, NC 27517",35.9057293,-78.9827444
"Station 17",4,"5503 Leesville Road Durham, NC 27703",35.9410705,-78.796138
"Station 18",3,"6919 Herndon Road  Durham, NC 27713",35.8985502,-78.9265485
"Station 19",3,"4716 Old Page Road Durham, NC  27703",35.8838198,-78.8465706
"Station 19 Future",3,"31 Davis Drive Durham, NC 27713",35.8925137,-78.8609711
