Station,Battalion,Physical Location
Station 1,1,"139 E. Morgan Street Durham, NC 27701"
Station 2,1,"1001 9th Street Durham, NC 27705"
Station 3,4,"822 N. Miami Boulevard Durham, NC 27703"
Station 4,1,"1818 Riddle Road Durham, NC 27713"
Station 5,1,"2212 Chapel Hill Road Durham, NC 27707"
Station 6,3,"3700 Swarthmore Road Durham, NC 27707"
Station 7,2,"3919 N. Duke Street Durham, NC 27704"
Station 8,4,"225 Lick Creek Lane Durham, NC 27703"
Station 9,4,"1648 Midland Terrace, Durham, NC 27704"
Station 10,2,"1805 Cole Mill Road Durham, NC 27712"
Station 11,1,"2800 W. Cornwallis Road Durham, NC 27705 "
Station 12,3,"1230 Carpenter Fletcher Road Durham, NC 27713"
Station 13,4,"2901 S. Miami Boulevard Durham, NC 27703"
Station 14,2,"1327 Umstead Road Durham, NC 27712"
Station 15,2,"2060 Torredge Road Durham, NC 27712"
Station 16,3,"6303 Farrington Road Chapel Hill, NC 27517"
Station 17,4,"5503 Leesville Road Durham, NC 27703"
Station 18,3,"6919 Herndon Road  Durham, NC 27713"
Station 19,3,"4716 Old Page Road Durham, NC  27703"
Station 19 Future,3,"31 Davis Drive Durham, NC 27713"
